Date,Open,High,Low,Close,Volume
10/25/2024,"581.51","584.46","578.08","579.04","47,268,180"
10/24/2024,"579.98","580.06","576.57","579.24","34,979,859"
10/23/2024,"581.26","581.71","574.42","577.99","49,314,566"
10/22/2024,"581.05","584.50","580.38","583.32","34,183,840"
10/21/2024,"583.85","584.85","580.60","583.63","36,439,008"
10/18/2024,"584.07","585.39","582.58","584.59","37,416,801"
10/17/2024,"585.91","586.12","582.16","582.35","34,393,711"
10/16/2024,"579.78","582.83","578.96","582.30","30,725,439"
10/15/2024,"584.59","584.90","578.55","579.78","54,203,641"
10/14/2024,"581.22","585.27","580.73","584.32","36,217,219"
10/11/2024,"576.05","580.33","575.91","579.58","42,267,992"
10/10/2024,"575.77","577.58","574.49","576.13","44,138,059"
10/09/2024,"573.16","577.71","572.55","577.14","37,912,238"
10/08/2024,"570.42","573.78","569.53","573.17","37,398,688"
10/07/2024,"571.30","571.96","566.63","567.80","49,964,688"
10/04/2024,"572.35","573.36","568.10","572.98","43,005,191"
10/03/2024,"567.36","569.80","565.49","567.82","40,846,473"
10/02/2024,"567.71","569.90","565.27","568.86","38,097,801"
10/01/2024,"573.40","574.06","566.00","568.62","72,668,781"
09/30/2024,"570.42","574.38","568.08","573.76","63,655,449"
09/27/2024,"573.39","574.22","570.42","571.47","42,100,930"
09/26/2024,"574.38","574.71","569.90","572.30","48,336,000"
09/25/2024,"571.14","571.89","568.91","570.04","38,428,594"
09/24/2024,"570.48","571.36","567.60","571.30","46,805,672"
09/23/2024,"569.34","570.33","568.10","569.67","44,116,922"
09/20/2024,"567.84","569.31","565.17","568.25","77,503,109"
09/19/2024,"571.01","572.88","568.08","570.98","75,315,469"
09/18/2024,"563.74","568.69","560.83","561.40","59,044,941"
09/17/2024,"565.10","566.58","560.80","563.07","49,320,969"
09/16/2024,"561.74","563.11","559.90","562.84","36,656,121"
09/13/2024,"559.71","563.03","559.45","562.01","39,310,500"
09/12/2024,"555.01","559.40","552.74","559.09","51,892,738"
09/11/2024,"548.70","555.36","539.96","554.42","75,248,609"
09/10/2024,"548.36","549.15","543.38","548.79","36,394,578"
09/09/2024,"544.65","547.71","542.68","546.41","40,445,820"
09/06/2024,"549.94","551.60","539.44","540.36","68,493,805"
09/05/2024,"550.89","553.80","547.10","549.61","44,264,262"
09/04/2024,"550.20","554.43","549.46","550.95","47,224,941"
09/03/2024,"560.47","560.81","549.51","552.08","60,523,000"
08/30/2024,"560.77","564.20","557.14","563.68","62,700,113"
08/29/2024,"560.31","563.68","557.18","558.35","38,715,180"
08/28/2024,"561.21","561.65","555.04","558.30","41,066,020"
08/27/2024,"559.49","562.06","558.32","561.56","32,693,900"
08/26/2024,"563.18","563.91","559.05","560.79","35,788,609"
08/23/2024,"559.53","563.09","557.29","562.13","50,639,391"
08/22/2024,"562.56","563.18","554.98","556.22","56,121,461"
08/21/2024,"559.77","562.11","554.73","560.62","41,514,602"
08/20/2024,"559.15","560.84","557.33","558.70","33,732,262"
08/19/2024,"554.73","559.61","553.86","559.61","39,121,793"
08/16/2024,"551.42","555.02","551.26","554.31","44,430,727"
08/15/2024,"549.50","553.36","548.88","553.07","60,846,809"
08/14/2024,"542.85","544.96","540.12","543.75","42,446,930"
08/13/2024,"536.53","542.28","536.28","542.04","52,333,070"
08/12/2024,"534.21","535.73","530.95","533.27","42,542,070"
08/09/2024,"529.81","534.51","528.56","532.99","45,619,559"
08/08/2024,"523.91","531.29","521.84","530.65","63,276,594"
08/07/2024,"528.47","531.59","518.05","518.66","70,698,336"
08/06/2024,"519.22","529.75","517.87","522.15","84,826,312"
08/05/2024,"511.64","523.58","510.27","517.38","146,267,391"
08/02/2024,"535.75","536.99","528.60","532.90","82,789,070"
08/01/2024,"552.57","554.87","539.43","543.01","76,428,727"
07/31/2024,"548.98","553.50","547.58","550.81","65,663,391"
07/30/2024,"546.26","547.34","538.52","542.00","46,853,633"
07/29/2024,"546.02","547.05","542.72","544.76","39,515,820"
07/26/2024,"542.28","547.19","541.49","544.44","53,763,793"
07/25/2024,"541.35","547.46","537.45","538.41","61,158,289"
07/24/2024,"548.86","549.17","540.29","541.23","74,515,273"
07/23/2024,"554.54","556.74","553.28","553.78","34,439,559"
07/22/2024,"553.00","555.27","551.02","554.65","43,346,719"
07/19/2024,"552.42","554.08","547.91","548.99","65,509,078"
07/18/2024,"558.51","559.52","550.43","552.66","56,270,391"
07/17/2024,"558.80","560.51","556.61","556.94","57,118,961"
07/16/2024,"562.87","565.16","562.10","564.86","36,475,262"
07/15/2024,"562.03","564.84","559.63","561.53","40,584,289"
07/12/2024,"557.63","563.67","557.15","559.99","53,084,406"
07/11/2024,"561.44","562.33","555.83","556.48","53,054,180"
07/10/2024,"557.07","561.67","556.77","561.32","38,701,219"
07/09/2024,"556.26","557.18","555.52","555.82","27,314,131"
07/08/2024,"555.44","556.25","554.19","555.28","36,110,449"
07/05/2024,"551.77","555.05","551.12","554.64","41,488,391"
07/03/2024,"548.69","551.83","548.65","551.46","32,789,910"
07/02/2024,"543.70","549.01","543.65","549.01","40,434,793"
07/01/2024,"545.63","545.88","542.52","545.34","40,297,809"
06/28/2024,"547.16","550.28","542.95","544.22","76,144,547"
06/27/2024,"545.37","546.96","544.61","546.37","35,041,480"
06/26/2024,"543.69","546.24","543.03","545.51","38,550,641"
06/25/2024,"543.99","545.20","542.44","544.83","38,273,352"
06/24/2024,"544.33","546.95","542.62","542.74","45,528,648"
06/21/2024,"544.40","545.65","543.02","544.51","64,513,859"
06/20/2024,"549.44","550.12","545.18","547.00","70,328,234"
06/18/2024,"547.16","548.62","546.73","548.49","41,376,422"
06/17/2024,"542.08","548.53","541.61","547.10","55,839,461"
06/14/2024,"540.88","542.81","539.85","542.78","40,089,898"
06/13/2024,"543.15","543.33","539.59","542.45","44,760,953"
06/12/2024,"541.63","544.12","540.30","541.36","63,251,312"
06/11/2024,"534.07","537.01","532.05","536.95","36,383,406"
06/10/2024,"533.18","535.99","532.57","535.66","35,729,246"
06/07/2024,"533.66","536.89","532.54","534.01","43,224,527"
06/06/2024,"534.98","535.42","532.68","534.66","30,808,529"
06/05/2024,"530.77","534.69","528.73","534.67","47,610,367"
06/04/2024,"526.46","529.15","524.96","528.39","34,632,660"
06/03/2024,"529.02","529.31","522.60","527.80","46,835,699"
05/31/2024,"523.59","527.50","518.36","527.37","90,785,758"
05/30/2024,"524.52","525.20","521.33","522.61","46,468,512"
05/29/2024,"525.68","527.31","525.37","526.10","45,190,320"
05/28/2024,"530.27","530.51","527.11","529.81","36,269,602"
05/24/2024,"527.85","530.27","526.88","529.44","41,291,078"
05/23/2024,"532.96","533.07","524.72","525.96","57,211,199"
05/22/2024,"530.65","531.38","527.60","529.83","48,389,969"
05/21/2024,"529.28","531.52","529.07","531.36","33,437,000"
05/20/2024,"529.57","531.56","529.17","530.06","37,764,207"
05/17/2024,"528.81","529.52","527.32","529.45","59,187,594"
05/16/2024,"529.88","531.52","528.54","528.69","50,244,832"
05/15/2024,"525.83","530.08","525.18","529.78","59,504,898"
05/14/2024,"521.11","523.83","520.56","523.30","57,535,871"
05/13/2024,"522.56","522.67","519.74","520.91","36,716,359"
05/10/2024,"521.81","522.64","519.59","520.84","52,233,168"
05/09/2024,"517.38","520.21","516.71","520.17","43,643,672"
05/08/2024,"515.26","517.74","515.14","517.19","42,047,207"
05/07/2024,"517.56","518.57","516.45","517.14","52,561,301"
05/06/2024,"513.75","516.61","513.30","516.57","47,264,699"
05/03/2024,"511.16","512.55","508.56","511.29","72,756,711"
05/02/2024,"504.15","505.89","499.55","505.03","62,550,180"
05/01/2024,"501.38","508.19","499.87","500.35","80,242,844"
04/30/2024,"508.56","509.56","501.98","501.98","77,483,570"
